27,89,31,36,81,45.9,50.6,57.9,73.9,36.7
27,13,11,28,19,48.6,26.2,25.0,54.0,30.2
41,18,56,66,85,76.2,44.0,23.6,25.1,22.2
22,3,91,19,24,51.7,34.3,29.8,36.3,49.9
37,4,66,35,55,50.7,50.7,29.4,35.3,35.7
70,31,25,38,19,27.1,72.4,50.8,24.2,41.4
19,20,40,29,37,37.1,37.3,39.2,41.7,40.1
32,30,49,35,90,79.8,58.0,49.9,49.1,42.0
67,19,36,27,20,36.0,32.7,67.7,53.1,42.7
20,14,24,12,21,38.9,32.9,46.7,25.9,49.9
35,4,18,19,17,44.4,18.5,39.7,35.5,35.9
32,46,92,37,47,67.6,69.4,16.8,14.5,67.5
14,13,47,59,70,33.5,34.3,59.5,34.5,58.1
64,77,80,70,29,21.6,20.7,38.2,37.7,53.5
27,66,20,46,32,61.8,26.6,46.4,48.0,47.5
60,56,51,59,61,33.4,39.3,37.5,38.2,38.3
64,14,24,93,77,39.1,27.6,47.2,24.8,31.9
75,59,35,13,31,37.5,38.4,20.9,24.7,48.7
78,8,27,91,44,65.4,54.6,55.0,57.5,29.7
77,40,20,16,33,17.3,36.6,12.7,33.7,13.7
17,25,27,20,18,39.2,54.8,45.9,44.4,43.6
33,40,25,53,56,27.1,60.0,55.0,57.7,59.9
95,76,83,45,14,50.9,71.9,36.9,34.8,31.9
80,3,26,19,62,59.1,73.6,57.8,45.2,48.7
28,22,36,37,49,60.0,48.2,64.9,79.8,87.3
55,34,48,15,39,38.2,34.5,35.2,35.1,37.7
25,17,64,63,15,46.6,32.4,51.4,36.0,31.6
14,73,68,66,15,32.5,33.9,31.8,32.3,38.5
28,96,13,31,88,35.5,50.1,29.0,49.4,25.1
45,96,20,98,42,102.0,66.0,46.6,71.4,45.9
38,2,62,60,82,13.7,11.6,15.3,12.4,15.2
80,14,44,58,23,32.8,30.2,28.8,26.1,47.8
48,12,27,80,30,35.8,31.9,19.0,17.7,35.6
22,19,2,81,52,42.2,45.2,23.6,21.9,17.8
76,47,4,31,46,12.6,36.6,17.3,13.1,16.8
91,52,37,28,20,42.6,32.0,36.9,61.9,31.7
7,96,72,43,98,19.7,12.3,11.6,12.3,12.0
18,92,53,41,32,36.5,33.3,37.9,30.1,38.2
28,54,33,51,87,60.8,80.8,78.2,26.6,29.3
50,22,1,66,10,55.0,52.9,43.6,13.9,20.9
44,61,88,65,63,34.5,51.8,50.8,32.6,48.5
68,26,90,62,31,41.2,60.1,35.2,75.3,67.9
10,38,18,27,15,25.6,29.0,48.4,18.1,41.8
56,31,46,68,79,26.7,65.2,25.9,27.8,25.9
73,47,72,61,84,14.2,13.3,38.6,12.9,14.2
25,39,58,32,77,47.6,26.9,36.8,25.3,26.6
99,15,58,14,29,38.6,34.7,42.6,31.7,56.3
34,23,94,19,21,70.8,50.2,48.4,46.4,48.8
55,64,47,77,39,30.8,30.5,23.9,19.4,25.1
80,94,2,29,47,31.8,28.4,38.9,63.4,22.5
74,5,45,46,96,36.2,43.5,29.1,54.3,34.0
31,69,84,46,83,24.3,23.6,22.5,25.1,22.1
35,16,57,82,22,33.2,35.7,41.0,31.1,44.7
17,15,29,24,47,28.4,32.0,62.0,46.6,46.4
6,88,54,18,71,13.5,12.9,41.0,34.1,27.1
23,36,5,6,4,26.7,27.4,30.9,46.4,26.2
7,69,8,19,52,19.1,14.9,27.5,36.3,21.3
22,37,65,40,63,45.0,23.8,52.9,49.3,14.9
57,87,56,53,66,37.0,33.3,32.3,42.4,36.9
77,28,18,22,19,37.0,37.8,35.1,45.9,36.1
26,27,21,14,18,56.6,40.9,38.6,35.2,37.6
0,13,27,36,11,36.0,60.4,59.9,47.0,25.1
31,17,79,94,18,60.1,33.3,33.7,34.2,33.9
35,14,52,11,23,30.5,24.5,25.8,48.8,41.3
1,23,81,5,73,51.9,49.0,54.9,50.1,48.7
5,69,84,43,19,33.4,40.8,37.7,35.0,41.1
17,41,12,91,10,41.6,56.9,23.4,14.7,16.8
66,91,28,88,99,26.2,30.9,57.8,25.0,45.9
56,98,86,10,37,25.5,31.3,19.3,19.7,80.7
77,20,49,33,91,54.1,49.0,73.8,71.4,44.7
18,31,28,20,51,33.8,56.8,52.0,37.0,26.9
2,46,32,31,19,66.1,37.2,59.9,57.1,40.3
