9,80,54,67,41,18.1,23.3,20.9,20.4,24.8
25,71,91,17,79,35.1,29.8,25.5,61.6,38.1
45,38,70,22,62,41.4,39.3,54.1,43.0,40.8
85,42,92,19,46,11.3,11.1,5.9,52.4,20.0
44,90,89,27,4,18.5,20.8,14.1,51.2,11.0
62,81,67,56,38,23.6,35.1,29.8,24.2,23.8
64,99,38,6,65,40.4,35.3,32.5,38.9,34.9
83,23,68,18,92,8.1,50.6,56.0,32.2,15.8
60,97,95,68,7,24.2,26.8,25.6,13.9,11.8
78,49,40,8,71,33.6,30.9,38.4,30.9,27.1
94,17,73,50,82,34.4,39.8,36.4,36.1,37.7
47,2,76,91,31,47.2,45.8,42.8,18.2,17.2
37,12,52,48,92,21.6,13.9,18.9,25.0,20.7
98,70,46,65,39,43.3,45.3,46.4,34.8,38.1
88,9,46,6,77,42.0,56.4,46.6,47.3,39.6
36,5,48,93,61,72.3,11.7,9.5,10.3,12.9
52,18,26,9,19,42.1,39.2,49.2,19.0,36.4
22,19,20,59,17,50.3,45.7,37.7,46.5,33.7
39,91,71,25,7,35.5,23.7,23.7,48.9,15.5
32,30,48,59,7,35.9,22.4,33.1,33.0,18.7
11,14,36,86,3,27.3,36.1,25.5,26.1,25.4
92,42,3,12,18,45.7,36.5,33.1,29.9,24.4
14,57,36,65,17,23.7,61.7,23.9,34.8,32.9
36,15,63,81,45,32.0,27.5,29.9,22.5,21.5
98,92,42,69,99,27.0,28.9,23.4,27.9,17.1
29,58,0,92,53,48.9,53.5,26.8,28.3,27.5
23,91,90,72,31,44.7,23.9,20.8,25.0,21.2
79,47,96,15,62,43.1,47.3,40.7,30.2,36.3
27,16,85,86,48,53.8,34.6,39.9,46.9,34.5
51,31,16,90,59,36.9,39.9,33.7,52.0,37.0
25,28,32,34,58,47.1,51.1,59.1,62.5,26.2
17,29,23,19,66,40.6,48.2,45.6,46.0,45.7
73,94,19,46,57,26.5,9.8,52.5,10.8,10.0
48,19,37,15,81,43.5,42.9,40.0,33.9,41.7
57,36,11,39,18,28.9,23.4,28.3,26.3,36.3
79,93,30,54,51,36.1,19.2,13.8,19.9,16.6
22,12,67,80,66,49.7,32.1,10.4,8.7,9.3
29,98,38,19,5,34.5,37.8,27.4,39.7,39.4
13,75,92,39,7,26.3,18.5,16.5,23.4,12.5
98,20,18,50,85,18.3,47.1,29.9,30.3,19.5
34,35,82,6,18,14.7,15.9,17.2,13.3,12.2
55,58,86,73,48,41.6,33.5,39.3,36.3,30.0
19,49,35,5,92,44.2,34.2,43.5,40.7,39.5
51,86,91,40,45,17.4,22.0,20.9,20.0,23.3
61,43,20,31,92,21.4,33.0,39.7,68.1,26.1
23,57,27,21,35,49.4,73.4,48.8,37.4,49.4
71,32,81,65,33,23.3,35.0,40.2,30.8,62.5
9,39,64,19,24,16.1,19.5,25.4,27.5,40.3
21,41,63,87,83,53.4,44.6,42.4,43.5,34.4
27,41,63,80,64,39.4,24.3,34.1,25.0,25.3
