56,93,33,8,49,24.2,19.5,17.2,20.7,24.9
2,77,27,76,88,35.1,22.5,22.6,22.6,22.7
18,13,9,50,11,46.4,36.4,41.5,47.3,33.0
23,16,19,26,59,51.0,43.8,52.4,64.8,39.1
41,62,58,67,72,29.5,40.3,43.7,25.0,35.4
32,60,2,15,66,40.4,24.8,25.2,40.2,24.5
63,1,88,77,83,48.5,48.6,34.0,50.8,46.6
71,28,44,16,94,60.2,58.8,33.1,34.0,39.6
20,69,24,81,37,45.6,60.2,57.6,41.8,38.5
16,33,15,63,82,34.8,37.5,34.0,39.0,34.0
34,98,95,65,67,65.4,34.8,37.7,38.0,37.2
68,16,19,66,79,25.3,29.2,38.6,30.2,26.0
31,18,23,44,84,50.7,34.7,49.5,32.3,38.9
67,84,70,30,39,47.2,29.9,45.3,32.9,38.1
26,30,53,32,89,58.4,68.8,45.9,71.6,44.8
9,10,8,57,88,25.7,28.3,23.5,31.8,15.9
44,75,72,92,9,13.4,17.1,13.1,13.0,19.0
69,20,12,50,84,45.5,37.7,30.7,33.4,23.4
9,47,3,11,34,22.7,18.9,29.9,32.5,70.5
42,15,18,11,72,39.6,44.5,38.5,28.7,23.4
95,63,21,59,53,37.0,23.6,22.4,20.1,31.1
94,57,90,33,82,23.3,23.5,23.7,25.9,23.6
22,57,16,23,90,51.9,61.7,39.5,50.9,49.4
83,87,30,16,17,36.4,30.0,29.8,39.3,39.7
14,15,58,18,0,34.9,38.3,40.8,41.5,28.9
26,38,80,82,10,28.6,28.3,25.1,24.1,23.5
48,21,8,14,29,51.3,49.3,33.9,21.7,73.5
46,79,18,15,96,45.5,43.1,36.6,30.2,40.7
48,19,78,97,41,34.5,41.6,30.8,33.0,20.5
25,30,59,54,90,54.3,39.0,37.0,30.7,52.0
18,38,4,51,76,40.9,23.1,23.7,22.7,23.5
24,17,23,29,16,46.2,40.6,45.6,48.2,13.9
93,73,21,42,55,34.5,26.5,31.1,42.8,43.6
37,81,18,26,83,40.0,41.7,42.3,51.3,27.8
14,23,87,77,90,34.1,51.8,42.5,35.7,36.8
68,28,55,81,12,19.4,18.7,25.9,21.9,24.9
19,22,23,8,77,42.7,49.7,41.5,23.3,51.6
4,77,19,60,55,27.0,26.5,39.7,28.6,28.5
70,25,86,47,33,28.0,58.1,34.4,23.3,24.7
62,10,29,76,64,27.2,21.3,28.2,19.8,38.6
17,60,86,65,11,23.5,51.3,29.1,18.1,23.5
35,64,31,23,70,36.0,42.3,37.4,57.5,45.7
99,83,35,42,79,37.7,33.5,43.5,23.9,26.4
61,26,4,1,84,35.1,56.4,41.8,21.4,26.6
69,22,89,79,19,42.7,44.7,33.0,31.3,41.9
21,22,76,24,66,37.4,41.2,41.0,44.6,40.1
37,50,95,4,87,25.4,24.9,22.8,25.1,24.1
61,11,29,75,34,33.1,32.9,32.1,17.1,27.1
49,91,1,0,63,50.6,36.1,47.3,34.0,42.4
25,55,58,1,22,33.0,38.4,27.6,22.6,51.0
96,72,24,40,82,23.0,22.9,22.4,38.6,19.3
19,65,17,63,40,27.0,44.3,46.6,24.9,80.2
22,46,20,43,49,52.6,43.1,42.0,45.0,38.4
37,0,16,56,68,30.6,28.6,32.8,30.3,30.5
1,67,8,38,91,20.4,17.5,13.0,14.2,17.0
68,82,42,26,16,27.3,19.4,43.7,60.0,28.0
82,47,88,86,65,41.4,40.0,45.9,52.2,44.1
67,16,89,21,39,27.8,34.1,37.5,44.1,33.9
4,51,80,84,58,33.2,44.3,26.4,51.6,31.8
22,91,31,39,59,52.8,45.0,70.8,55.2,45.2
27,73,20,54,17,72.6,48.5,48.0,24.5,46.2
26,33,28,32,25,53.1,57.3,54.9,68.1,55.5
22,80,27,56,93,39.7,42.1,27.0,26.0,25.8
21,18,30,56,22,41.8,35.2,39.2,39.4,42.4
14,47,23,26,49,40.4,53.8,51.6,58.4,35.4
19,20,90,47,9,39.6,45.2,23.9,23.7,22.2
70,69,97,93,9,37.7,38.4,34.8,36.7,39.8
50,90,39,12,70,5.9,9.8,7.6,19.4,3.6
35,60,93,19,28,42.6,36.8,46.4,43.8,28.7
93,5,17,65,43,32.9,36.5,40.6,26.1,33.5
2,55,36,22,23,34.5,34.8,36.2,34.9,33.8
92,29,21,32,25,57.0,52.8,38.4,75.2,45.8
54,19,10,25,65,35.5,40.7,16.1,63.1,42.8
21,54,57,18,77,42.1,35.1,42.5,40.7,23.3
74,11,33,97,8,44.2,38.8,38.1,36.2,40.0
2,91,24,45,11,46.4,49.9,42.4,29.7,26.0
40,21,26,84,59,48.1,46.7,41.6,43.5,43.2
84,45,17,75,62,35.3,29.9,37.3,35.0,30.0
78,30,27,39,56,32.4,31.3,31.6,23.3,30.1
20,19,29,25,27,41.2,37.6,48.3,56.0,59.4
38,49,26,77,57,18.5,18.0,16.8,43.5,20.7
36,2,41,73,39,26.3,22.4,23.1,21.1,21.6
27,16,63,58,12,33.9,32.0,38.4,41.2,20.0
3,86,69,98,54,5.4,2.5,7.6,4.0,7.8
39,89,78,54,45,16.0,16.8,17.2,15.4,16.5
77,47,76,27,46,44.6,24.2,34.9,23.2,32.8
51,17,79,93,34,34.7,39.6,32.1,22.8,34.8
67,85,37,38,25,28.1,31.3,15.8,36.1,33.0
54,29,92,32,8,16.8,20.8,18.5,16.5,15.9
25,55,19,38,34,47.4,34.6,38.0,36.0,31.4
80,91,94,58,23,36.6,34.2,41.1,39.1,33.9
