8,32,9,53,87,18.1,33.6,22.5,33.0,25.0
50,90,76,95,1,30.4,49.3,24.8,32.0,35.4
84,33,54,62,63,9.8,11.8,11.1,10.0,17.6
22,35,9,82,66,31.0,26.5,17.9,25.1,21.7
39,23,68,17,95,57.8,53.8,63.4,38.4,42.8
51,84,89,30,63,30.6,33.6,21.5,21.6,16.0
31,66,89,59,13,18.9,32.6,14.3,22.3,27.5
25,3,72,10,68,49.8,53.3,35.0,43.2,53.2
81,7,68,80,78,15.8,14.1,14.3,15.6,16.3
73,58,22,27,40,11.6,13.2,17.6,13.8,16.1
28,60,70,29,25,25.5,21.9,26.9,29.6,19.3
10,63,58,31,1,25.4,33.2,26.3,29.2,30.3
77,57,54,82,73,28.0,22.8,18.2,27.4,18.5
38,1,58,84,19,22.3,29.1,28.4,39.0,33.1
52,42,61,54,23,46.6,44.1,40.9,34.5,48.0
66,32,65,91,95,32.7,41.5,23.1,24.7,33.9
4,11,19,74,53,31.9,25.0,38.2,34.1,26.0
99,11,86,56,27,27.0,31.7,13.4,12.2,13.4
79,97,54,15,70,41.3,50.4,35.0,33.6,39.5
65,22,17,35,18,53.7,50.9,48.1,17.7,37.9
0,75,6,90,44,16.0,16.7,16.2,14.4,15.8
24,82,6,20,42,49.2,50.6,42.6,37.6,37.9
81,15,44,79,69,39.5,28.3,27.0,30.6,33.4
32,10,62,37,16,24.1,21.0,19.8,27.0,28.2
71,64,44,46,5,16.4,15.4,13.5,11.1,11.4
95,4,15,72,93,26.0,29.9,33.5,26.5,27.2
41,33,90,96,17,43.1,38.9,39.5,42.4,37.4
76,70,30,72,2,17.6,16.5,19.0,17.7,16.6
83,56,65,15,23,41.2,36.6,34.7,37.0,43.2
87,69,46,7,94,23.1,19.6,12.0,16.6,19.7
95,41,74,49,53,24.1,32.8,18.7,18.7,18.8
8,55,99,62,25,34.7,40.5,33.5,32.8,50.6
82,66,96,54,87,23.8,27.1,19.6,22.3,24.7
15,83,22,40,8,39.0,33.4,32.4,29.1,16.2
15,47,87,58,67,31.3,55.6,15.4,26.2,11.7
33,45,23,74,6,17.5,16.8,18.8,18.1,18.1
8,94,9,92,70,17.7,19.6,17.5,18.9,18.7
43,66,59,74,6,21.6,18.0,32.3,19.4,12.5
41,62,15,57,34,15.5,22.0,32.4,22.5,27.0
99,84,60,34,94,15.2,11.5,15.6,12.5,17.5
35,51,39,4,0,56.9,35.9,44.7,36.9,31.0
41,40,75,79,10,22.8,21.1,32.8,29.5,22.1
43,46,7,99,6,16.2,15.5,15.2,19.2,13.2
29,89,80,41,2,39.6,41.9,46.6,39.5,34.6
3,20,74,55,7,19.6,28.8,23.4,19.4,17.5
6,12,39,10,87,31.0,30.0,33.8,30.0,29.4
77,80,74,55,50,18.5,18.8,21.5,19.8,17.8
47,99,79,52,29,8.4,7.9,12.7,17.6,10.1
93,79,34,16,0,22.0,30.3,14.1,36.0,25.8
47,64,34,26,60,27.8,26.2,22.7,61.5,61.7
96,49,21,33,67,40.3,38.8,40.6,41.5,36.6
78,97,12,10,60,21.0,20.0,32.0,26.6,24.4
68,39,28,61,59,11.5,13.2,15.6,16.8,11.8
41,56,8,31,60,29.9,32.5,31.6,35.0,32.0
60,74,70,49,5,13.5,11.7,11.6,14.2,12.5
71,88,0,65,42,31.4,26.7,27.2,25.3,37.0
37,65,52,7,77,26.4,25.0,24.0,25.6,26.8
21,25,81,23,53,49.8,58.8,51.4,49.2,39.7
50,27,69,62,22,59.9,58.7,35.8,29.0,36.6
28,69,46,10,68,32.3,25.8,28.9,22.5,27.0
46,8,77,68,3,20.4,21.2,35.9,27.8,18.9
41,8,87,33,51,29.7,17.5,17.0,22.7,25.1
72,47,57,81,64,16.3,13.4,11.9,14.0,15.3
8,37,11,31,7,19.9,29.6,29.9,18.7,13.9
21,80,43,91,10,44.2,45.4,38.6,46.5,39.2
4,56,46,14,64,35.1,24.8,35.4,24.9,23.8
44,78,9,34,65,12.3,22.8,11.8,18.2,17.3
68,34,41,83,49,29.4,31.8,31.4,31.0,31.8
44,6,32,46,95,13.3,13.5,14.1,12.4,17.7
89,56,84,80,28,8.3,8.9,6.8,12.0,7.7
73,93,45,75,55,25.6,26.1,25.6,25.6,29.7
57,41,24,7,75,17.9,21.7,14.6,16.1,19.6
