78,97,44,24,0,31.5,27.0,29.4,53.8,27.4
26,24,27,28,15,52.2,53.6,53.6,59.2,40.2
70,91,75,93,58,13.6,14.0,9.8,8.6,11.1
21,64,18,22,54,43.8,34.2,31.8,37.1,22.0
8,21,75,99,16,58.4,44.1,47.8,32.7,34.3
1,2,96,45,75,28.9,31.3,32.8,31.1,26.2
4,50,49,71,34,33.2,41.1,41.7,39.8,38.7
21,8,85,44,20,47.3,44.2,44.9,41.2,44.5
40,47,14,86,62,49.9,28.5,28.4,25.0,28.4
82,92,8,5,0,19.3,22.8,18.6,23.2,19.1
73,40,59,54,29,29.2,18.6,19.9,19.3,21.4
64,42,41,35,96,7.3,7.9,8.2,5.4,5.7
4,34,40,13,49,23.5,74.5,18.5,26.5,13.5
6,38,82,64,50,18.6,18.3,19.8,16.9,16.7
66,95,39,31,5,15.0,17.2,20.8,14.7,18.4
86,27,30,25,31,70.2,52.7,63.1,52.5,58.2
21,19,36,84,95,52.6,41.8,47.5,47.6,49.5
87,33,85,11,82,27.9,24.0,25.0,26.2,32.7
19,20,33,0,38,37.3,42.9,42.7,52.2,43.7
67,17,13,14,56,22.9,22.7,24.2,25.0,32.5
21,18,11,19,93,43.3,31.5,43.3,36.3,37.4
97,84,71,28,83,36.7,26.2,42.9,33.4,28.9
5,67,31,33,90,68.4,78.2,65.4,67.2,67.9
92,10,42,72,97,22.1,20.5,26.3,24.7,27.1
93,19,17,15,32,33.8,41.3,29.3,29.3,29.9
22,78,23,20,45,38.3,42.1,40.3,34.1,32.9
24,73,20,68,79,49.9,48.3,42.5,41.2,32.0
15,59,29,19,17,21.1,29.6,42.9,37.9,28.1
43,20,34,21,25,46.1,41.8,49.7,47.6,61.6
24,28,35,38,92,35.6,45.2,70.4,78.4,80.9
49,58,61,14,33,33.4,32.2,31.8,30.9,29.2
17,15,53,95,54,37.0,34.8,43.0,42.2,44.3
32,20,70,16,26,75.0,40.2,30.4,31.4,62.0
99,65,8,74,61,9.1,7.0,8.2,7.3,4.8
62,97,39,55,21,28.1,27.0,31.2,27.6,22.1
1,15,9,75,16,32.9,21.5,24.5,32.1,26.5
92,77,6,27,34,11.7,12.0,16.7,11.7,13.5
25,53,27,60,39,16.5,14.6,14.0,12.7,11.5
12,52,68,75,16,8.8,44.9,5.8,43.3,43.0
90,21,75,95,57,50.9,50.7,19.5,18.9,14.9
91,62,50,71,80,44.8,45.7,43.5,42.9,43.6
16,21,87,40,9,19.9,15.5,13.4,17.4,17.1
15,55,18,16,17,26.3,45.2,36.5,31.7,35.7
17,87,22,25,70,41.4,51.5,50.2,26.7,26.1
36,39,73,83,30,18.4,12.4,13.9,19.1,16.1
4,76,84,92,70,21.4,24.0,22.9,29.6,26.5
95,48,94,19,62,59.5,52.6,56.3,52.5,51.6
92,26,83,68,67,65.2,63.0,26.3,27.4,28.7
51,49,65,80,9,26.8,25.6,32.1,30.9,32.6
95,68,81,45,34,15.2,23.0,21.2,23.4,17.6
82,68,28,74,3,46.6,45.6,45.1,35.2,34.7
47,93,95,39,32,21.5,22.5,22.1,31.9,20.7
21,49,28,22,87,52.1,55.6,53.6,52.5,56.9
89,80,45,37,73,22.7,20.4,25.6,22.1,26.0
26,32,39,2,6,14.0,11.9,13.8,13.3,12.9
25,99,84,8,40,17.1,20.9,19.8,19.4,14.6
33,42,91,67,92,34.5,34.7,41.0,38.6,32.6
87,92,91,1,16,17.7,16.1,13.9,11.0,16.1
80,33,42,19,29,27.4,64.0,24.8,25.6,61.8
94,13,16,76,62,33.2,28.7,35.9,31.9,31.5
24,64,10,98,94,45.6,41.5,45.0,46.4,45.0
77,63,27,24,80,18.2,18.2,18.8,57.4,17.8
37,75,43,97,78,14.2,11.8,12.6,13.1,12.3
63,80,54,25,51,8.7,8.9,7.7,7.8,8.0
61,46,10,78,41,43.2,48.9,45.7,47.8,50.2
97,69,98,37,26,21.7,20.4,24.5,62.1,58.1
26,69,62,61,15,67.3,34.9,38.7,37.2,31.3
14,3,90,36,89,35.0,44.4,36.6,76.0,42.9
70,2,53,19,68,18.0,71.2,16.6,48.9,18.9
36,92,46,56,53,26.4,25.3,28.0,31.3,25.0
1,20,93,73,81,19.0,43.6,19.8,27.4,20.9
60,75,53,4,71,8.6,8.2,8.9,7.5,12.7
